"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
MALE+FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Ariyalur,3210,0.0 ,6.7 ,3.9 ,6.4 ,4.7 ,12.0 ,18.4 ,21.8 ,51.7 ,70.7 ,154.1 ,181.0 ,272.4 ,223.4 ,255.2 ,232.2 ,157.5 ,79.4 ,66.8 ,146.7 ,7.291 
Chennai,33004,0.1 ,14.9 ,13.1 ,12.5 ,12.1 ,14.8 ,17.6 ,33.9 ,60.1 ,98.9 ,171.2 ,268.8 ,331.1 ,439.7 ,680.1 ,671.9 ,712.0 ,134.3 ,122.1 ,206.7 ,13.240 
Coimbatore,22961,0.0 ,8.4 ,7.0 ,7.7 ,10.6 ,12.3 ,17.7 ,26.9 ,54.9 ,80.3 ,140.5 ,215.3 ,293.9 ,365.5 ,474.9 ,483.6 ,459.1 ,116.7 ,94.2 ,173.2 ,10.415 
Cuddalore,12440,0.0 ,8.7 ,6.1 ,7.9 ,8.6 ,7.8 ,13.6 ,29.5 ,53.9 ,82.2 ,133.2 ,198.6 ,275.0 ,306.5 ,366.2 ,315.8 ,352.0 ,85.3 ,80.3 ,159.2 ,8.669 
Dharmapuri,6594,0.0 ,8.9 ,5.7 ,4.1 ,7.9 ,8.3 ,16.1 ,22.7 ,57.7 ,87.0 ,132.2 ,195.1 ,251.4 ,304.2 ,344.2 ,276.0 ,252.5 ,78.2 ,75.5 ,156.8 ,8.249 
Dindigul,10058,0.0 ,5.9 ,6.7 ,5.4 ,8.9 ,11.6 ,13.7 ,22.8 ,48.3 ,72.9 ,129.2 ,204.6 ,268.9 ,254.6 ,307.6 ,272.5 ,293.5 ,84.5 ,72.8 ,149.0 ,7.843 
Erode,15137,0.0 ,9.2 ,6.9 ,6.7 ,9.0 ,10.6 ,14.2 ,25.3 ,56.2 ,86.2 ,135.5 ,227.0 ,283.1 ,350.2 ,420.9 ,432.1 ,383.8 ,118.1 ,89.0 ,172.1 ,9.847 
Kanchipuram,27788,0.0 ,13.4 ,13.9 ,10.0 ,9.5 ,11.3 ,16.0 ,29.4 ,58.6 ,93.9 ,157.2 ,240.3 ,303.8 ,410.0 ,589.1 ,519.3 ,449.5 ,105.6 ,104.9 ,190.8 ,11.643 
Kanyakumari,11743,0.0 ,12.4 ,8.1 ,8.3 ,11.7 ,17.2 ,17.5 ,28.5 ,50.9 ,83.0 ,150.5 ,199.3 ,274.6 ,328.5 ,451.3 ,504.9 ,365.0 ,114.6 ,90.7 ,165.0 ,10.178 
Karur,5119,0.0 ,5.3 ,8.6 ,7.5 ,8.0 ,10.8 ,13.1 ,23.1 ,41.6 ,74.5 ,125.5 ,198.1 ,264.3 ,264.8 ,277.7 ,243.9 ,259.3 ,86.4 ,70.2 ,147.0 ,7.535 
Krishnagiri,6848,0.0 ,9.8 ,6.5 ,5.8 ,7.5 ,8.8 ,14.1 ,22.8 ,44.1 ,69.5 ,117.0 ,164.6 ,217.3 ,242.1 ,342.3 ,268.7 ,229.7 ,65.1 ,66.9 ,130.5 ,7.415 
Madurai,17081,0.0 ,8.4 ,9.3 ,9.4 ,13.9 ,14.5 ,17.7 ,29.5 ,49.2 ,79.6 ,149.4 ,228.8 ,294.1 ,341.7 ,388.0 ,332.2 ,380.3 ,98.0 ,87.8 ,172.8 ,9.360 
Nagapattinam,6715,0.0 ,8.8 ,7.4 ,6.2 ,7.1 ,8.5 ,12.6 ,25.1 ,51.1 ,68.8 ,127.6 ,177.1 ,230.0 ,263.8 ,308.2 ,265.3 ,211.3 ,77.6 ,68.4 ,140.2 ,7.539 
Nilgiri,2722,0.0 ,3.3 ,3.2 ,4.5 ,6.4 ,15.9 ,13.2 ,24.2 ,37.3 ,55.2 ,101.2 ,132.4 ,177.3 ,251.8 ,290.0 ,296.4 ,272.4 ,76.3 ,61.0 ,114.2 ,6.817 
Namakkal,7518,0.0 ,10.1 ,5.7 ,4.8 ,4.5 ,8.9 ,12.3 ,21.0 ,42.1 ,71.8 ,115.1 ,154.7 ,207.7 ,224.7 ,261.9 ,256.2 ,237.5 ,77.2 ,62.1 ,125.1 ,6.768 
Perambalur,2381,0.0 ,11.8 ,9.6 ,5.5 ,7.9 ,8.9 ,15.8 ,20.5 ,50.0 ,76.6 ,133.8 ,205.9 ,226.7 ,208.6 ,261.9 ,241.7 ,219.1 ,75.3 ,67.2 ,139.8 ,7.157 
Pudukottai,5865,0.0 ,10.3 ,6.9 ,5.8 ,10.6 ,11.5 ,14.4 ,18.9 ,40.7 ,65.0 ,122.5 ,172.2 ,218.3 ,197.7 ,254.2 ,190.3 ,186.3 ,66.5 ,60.7 ,125.6 ,6.477 
Ramanathapuram,4673,0.0 ,8.8 ,7.9 ,4.8 ,6.7 ,9.4 ,12.7 ,20.4 ,40.5 ,62.9 ,112.5 ,167.8 ,203.7 ,201.2 ,259.4 ,219.9 ,141.2 ,61.9 ,58.4 ,121.1 ,6.473 
Salem,16355,0.0 ,9.7 ,9.3 ,7.0 ,7.1 ,9.9 ,13.9 ,23.5 ,46.9 ,73.8 ,125.3 ,189.5 ,230.3 ,271.0 ,321.8 ,298.3 ,246.8 ,83.3 ,71.5 ,142.9 ,7.861 
Sivagangai,5307,0.0 ,9.5 ,7.5 ,5.1 ,8.8 ,10.1 ,13.6 ,20.3 ,38.9 ,67.7 ,118.9 ,186.0 ,205.7 ,216.0 ,258.8 ,213.2 ,186.8 ,70.1 ,61.7 ,128.1 ,6.668 
