"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Ariyalur,1811,0.0 ,6.1 ,5.4 ,4.8 ,4.0 ,11.8 ,19.8 ,21.0 ,65.9 ,92.9 ,209.6 ,210.8 ,326.5 ,221.9 ,233.1 ,186.5 ,124.8 ,88.7 ,73.7 ,176.1 ,7.781 
Chennai,17762,0.0 ,13.8 ,10.9 ,10.3 ,11.4 ,13.3 ,18.8 ,38.6 ,67.9 ,114.0 ,206.9 ,318.8 ,403.7 ,483.1 ,659.3 ,624.1 ,571.2 ,143.3 ,128.0 ,241.1 ,13.907 
Coimbatore,12375,0.0 ,6.0 ,6.0 ,6.5 ,9.0 ,11.9 ,21.4 ,33.9 ,68.8 ,106.2 ,186.4 ,268.3 ,336.8 ,380.6 ,427.3 ,408.1 ,349.0 ,124.3 ,99.2 ,205.8 ,10.761 
Cuddalore,7185,0.0 ,7.8 ,5.1 ,7.4 ,8.4 ,5.8 ,15.8 ,33.7 ,67.4 ,111.9 ,184.3 ,275.6 ,344.3 ,324.9 ,346.3 ,307.5 ,273.8 ,99.2 ,91.0 ,201.2 ,9.724 
Dharmapuri,3885,0.0 ,7.0 ,4.6 ,5.3 ,5.9 ,6.7 ,18.3 ,30.3 ,79.4 ,129.7 ,186.7 ,247.7 ,286.0 ,349.3 ,332.5 ,258.9 ,191.6 ,94.4 ,86.7 ,198.5 ,9.282 
Dindigul,5563,0.0 ,5.4 ,5.9 ,5.8 ,6.3 ,11.8 ,15.8 ,27.5 ,59.5 ,97.1 ,180.4 ,235.5 ,298.0 ,249.5 ,289.7 ,246.9 ,235.8 ,93.1 ,78.4 ,173.9 ,8.310 
Erode,8058,0.0 ,8.0 ,4.4 ,7.0 ,7.8 ,10.1 ,15.8 ,32.3 ,72.6 ,110.6 ,172.5 ,275.6 ,298.1 ,333.6 ,406.4 ,366.5 ,315.0 ,124.8 ,93.0 ,194.8 ,10.063 
Kanchipuram,15045,0.0 ,12.1 ,12.9 ,7.2 ,8.9 ,11.6 ,16.9 ,37.2 ,74.4 ,117.2 ,200.8 ,292.1 ,365.0 ,450.5 ,550.1 ,424.0 ,318.5 ,114.5 ,110.8 ,228.3 ,12.107 
Kanyakumari,6335,0.0 ,12.3 ,8.1 ,8.3 ,14.3 ,19.5 ,22.7 ,33.3 ,70.3 ,103.6 ,198.3 ,239.7 ,299.6 ,323.6 ,439.0 ,412.0 ,264.8 ,122.2 ,95.6 ,191.1 ,10.436 
Karur,2962,0.0 ,4.5 ,8.6 ,10.2 ,8.0 ,7.5 ,16.4 ,29.9 ,52.9 ,108.1 ,179.9 ,246.0 ,304.7 ,254.6 ,269.2 ,213.1 ,211.7 ,99.0 ,78.5 ,177.8 ,8.211 
Krishnagiri,4064,0.0 ,8.8 ,5.3 ,5.5 ,7.0 ,8.4 ,16.3 ,28.4 ,57.9 ,94.7 ,162.8 ,224.4 ,291.7 ,289.8 ,347.6 ,248.5 ,189.7 ,78.6 ,79.0 ,172.3 ,8.593 
