"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,
MALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  All Sites      ALL DISTRICTS,,,,,,,,,,,,,,,,,,,,,,
District,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,C.R
Ariyalur,1399,0.0 ,7.1 ,2.5 ,7.8 ,5.4 ,12.1 ,16.9 ,22.6 ,33.9 ,45.3 ,99.9 ,149.7 ,214.7 ,224.9 ,278.9 ,275.6 ,189.0 ,70.0 ,59.5 ,115.5 ,6.748 
Chennai,15242,0.1 ,15.9 ,15.2 ,14.5 ,12.7 ,16.5 ,16.3 ,29.0 ,52.1 ,83.9 ,134.8 ,219.9 ,263.6 ,397.1 ,703.2 ,725.0 ,885.5 ,125.1 ,117.2 ,173.1 ,12.627 
Coimbatore,10586,0.0 ,10.9 ,8.1 ,9.0 ,12.1 ,12.8 ,14.1 ,20.0 ,39.5 ,52.6 ,94.7 ,164.9 ,253.6 ,350.6 ,526.2 ,566.3 ,600.7 ,108.8 ,90.1 ,140.7 ,10.127 
Cuddalore,5255,0.0 ,9.3 ,7.1 ,8.5 ,8.7 ,9.9 ,11.4 ,25.3 ,38.5 ,49.9 ,82.8 ,129.5 ,212.2 ,287.1 ,388.7 ,324.6 ,432.9 ,71.7 ,70.1 ,118.4 ,7.658 
Dharmapuri,2709,0.0 ,10.6 ,6.7 ,3.1 ,9.5 ,9.8 ,14.1 ,15.4 ,33.5 ,42.0 ,78.5 ,143.7 ,217.7 ,260.2 ,357.2 ,293.6 ,325.7 ,62.8 ,64.6 ,114.7 ,7.205 
Dindigul,4495,0.0 ,6.4 ,7.4 ,5.1 ,11.3 ,11.5 ,11.5 ,17.9 ,35.4 ,46.7 ,80.0 ,173.3 ,238.2 ,260.2 ,326.2 ,297.4 ,355.9 ,75.9 ,67.1 ,123.6 ,7.356 
Erode,7079,0.0 ,10.5 ,9.4 ,6.5 ,10.0 ,11.1 ,12.7 ,18.4 ,37.2 ,58.8 ,97.2 ,179.3 ,268.3 ,367.0 ,436.4 ,500.6 ,463.3 ,111.4 ,85.0 ,148.3 ,9.622 
Kanchipuram,12743,0.0 ,14.6 ,14.7 ,12.7 ,10.1 ,11.0 ,15.0 ,22.0 ,43.0 ,71.4 ,113.1 ,187.8 ,244.4 ,371.7 ,630.7 ,622.5 ,612.1 ,96.6 ,100.0 ,153.8 ,11.241 
Kanyakumari,5408,0.0 ,12.6 ,8.2 ,8.2 ,9.4 ,14.8 ,12.1 ,23.7 ,30.8 ,61.9 ,102.8 ,156.3 ,246.7 ,333.8 ,464.4 ,598.3 ,484.3 ,106.8 ,85.8 ,137.9 ,9.895 
Karur,2157,0.0 ,5.9 ,8.5 ,5.1 ,8.0 ,14.2 ,9.7 ,16.3 ,28.5 ,39.5 ,69.2 ,148.3 ,220.1 ,276.3 ,287.3 ,277.5 ,313.1 ,73.5 ,61.6 ,114.5 ,6.828 
Krishnagiri,2784,0.0 ,10.7 ,7.5 ,6.0 ,7.9 ,9.2 ,11.8 ,17.3 ,29.2 ,42.8 ,71.8 ,109.4 ,149.3 ,198.1 ,336.9 ,288.5 ,276.1 ,52.1 ,55.4 ,90.3 ,6.276 
Madurai,7956,0.0 ,9.7 ,11.6 ,9.9 ,15.0 ,15.6 ,15.8 ,23.5 ,33.8 ,56.1 ,107.3 ,180.5 ,264.1 ,367.5 ,443.2 ,374.2 ,510.7 ,91.4 ,85.6 ,148.8 ,9.189 
Nagapattinam,3091,0.0 ,8.4 ,6.2 ,6.9 ,8.6 ,11.2 ,8.6 ,21.9 ,33.9 ,47.8 ,86.4 ,144.1 ,211.8 ,261.8 ,351.2 ,345.9 ,285.5 ,72.7 ,65.3 ,116.9 ,7.480 
Nilgiri,1189,0.0 ,4.3 ,2.7 ,5.5 ,5.3 ,15.7 ,13.5 ,20.7 ,25.6 ,45.0 ,58.3 ,103.1 ,145.7 ,261.4 ,321.5 ,325.6 ,425.7 ,68.8 ,59.2 ,94.1 ,6.546 
Namakkal,3157,0.0 ,11.0 ,6.3 ,4.9 ,4.7 ,9.0 ,11.3 ,17.3 ,26.2 ,45.7 ,59.7 ,106.5 ,173.7 ,210.6 ,276.2 ,283.5 ,313.8 ,64.9 ,54.3 ,92.2 ,6.042 
Perambalur,955,0.0 ,11.0 ,12.2 ,7.6 ,9.2 ,8.7 ,14.2 ,15.4 ,28.7 ,57.3 ,70.5 ,159.0 ,181.1 ,163.5 ,249.6 ,228.8 ,243.2 ,60.4 ,54.9 ,100.4 ,5.903 
Pudukottai,2569,0.0 ,9.6 ,9.8 ,7.4 ,9.0 ,11.1 ,13.9 ,15.3 ,30.1 ,45.3 ,90.2 ,135.7 ,190.3 ,180.1 ,256.5 ,210.7 ,241.1 ,58.7 ,54.8 ,101.7 ,5.893 
