"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
MALE+FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C00       ,Lip                      ,928,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.5 ,0.6 ,0.9 ,1.2 ,1.0 ,1.1 ,0.2 ,0.2 ,0.4 ,0.024 
C01-C02   ,Tongue                   ,12267,3.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.9 ,1.9 ,3.3 ,5.3 ,7.9 ,9.2 ,10.2 ,11.9 ,10.7 ,8.7 ,3.0 ,2.6 ,5.8 ,0.308 
C03-C06   ,Mouth                    ,19605,5.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.0 ,2.5 ,4.7 ,7.8 ,11.3 ,14.8 ,17.4 ,21.6 ,19.6 ,16.7 ,4.8 ,4.2 ,8.9 ,0.505 
C07-C08   ,Salivary Gland           ,1692,0.5 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.5 ,0.7 ,0.8 ,1.1 ,1.1 ,1.3 ,1.4 ,1.1 ,0.4 ,0.4 ,0.7 ,0.040 
C09-C10   ,Oropharynx               ,5171,1.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.7 ,1.3 ,2.9 ,4.4 ,5.5 ,7.4 ,6.4 ,4.9 ,1.3 ,1.1 ,2.2 ,0.145 
C11       ,Nasopharynx              ,1253,0.3 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 ,0.6 ,0.8 ,0.9 ,1.1 ,0.7 ,0.6 ,0.3 ,0.3 ,0.5 ,0.029 
C12-C13   ,Hypopharynx              ,6969,1.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.8 ,1.3 ,2.4 ,3.8 ,5.5 ,6.6 ,8.1 ,7.3 ,6.5 ,1.7 ,1.5 ,3.0 ,0.182 
C14       ,Pharynx  unsp            ,632,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.3 ,0.5 ,0.6 ,0.9 ,0.7 ,0.7 ,0.2 ,0.1 ,0.3 ,0.017 
C15       ,Oesophagus               ,11207,3.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,1.0 ,1.7 ,3.3 ,5.7 ,8.8 ,11.1 ,14.1 ,13.5 ,12.5 ,2.8 ,2.4 ,4.7 ,0.300 
C16       ,Stomach                  ,19245,5.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,1.1 ,2.2 ,3.6 ,6.9 ,10.7 ,14.7 ,18.0 ,23.2 ,20.6 ,16.2 ,4.7 ,4.2 ,8.4 ,0.508 
C17       ,Small Intestine          ,864,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,0.7 ,0.6 ,0.9 ,0.8 ,0.9 ,0.2 ,0.2 ,0.4 ,0.021 
C18       ,Colon                    ,8757,2.4 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.6 ,1.3 ,1.7 ,3.0 ,4.6 ,5.8 ,7.7 ,9.6 ,9.9 ,9.6 ,2.2 ,1.9 ,3.6 ,0.224 
C19-C20   ,Rectum                   ,10498,2.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,0.8 ,1.5 ,2.0 ,3.4 ,5.6 ,7.0 ,8.9 ,12.7 ,11.9 ,12.0 ,2.6 ,2.3 ,4.3 ,0.271 
C21       ,Anus & Anal canal        ,1584,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.5 ,0.9 ,1.2 ,1.5 ,1.9 ,1.6 ,1.6 ,0.4 ,0.3 ,0.7 ,0.041 
C22       ,"Liver etc.,              ",6016,1.6 ,0.3 ,0.1 ,0.1 ,0.0 ,0.1 ,0.1 ,0.2 ,0.4 ,0.7 ,1.5 ,2.5 ,4.1 ,5.7 ,8.4 ,8.6 ,8.1 ,1.5 ,1.3 ,2.2 ,0.164 
C23-C24   ,Gall Bladder etc.        ,4000,1.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.7 ,1.4 ,2.4 ,2.9 ,3.8 ,5.2 ,4.5 ,3.7 ,1.0 ,0.9 ,1.7 ,0.107 
C25       ,Pancreas                 ,3434,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.7 ,1.2 ,1.7 ,2.6 ,3.2 ,4.2 ,3.7 ,3.1 ,0.8 ,0.7 ,1.5 ,0.090 
C26       ,Other G.I Tract          ,348,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.3 ,0.4 ,0.1 ,0.1 ,0.1 ,0.009 
C30-C31   ,Nasal Cavity etc.        ,1316,0.4 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.4 ,0.6 ,0.9 ,1.1 ,1.1 ,1.3 ,0.9 ,0.3 ,0.3 ,0.5 ,0.033 
C32       ,Larynx                   ,7156,1.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.7 ,1.8 ,3.7 ,6.0 ,8.1 ,9.6 ,9.2 ,7.7 ,1.8 ,1.6 ,3.0 ,0.199 
C33-C34   ,Lung                     ,16963,4.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,1.1 ,2.2 ,4.5 ,8.6 ,13.8 ,17.9 ,24.0 ,21.6 ,16.8 ,4.2 ,3.7 ,7.0 ,0.472 
C37-C39   ,Oth Respiratory syst     ,747,0.2 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.5 ,0.5 ,0.7 ,0.7 ,0.6 ,0.2 ,0.2 ,0.3 ,0.018 
C40-C41   ,Bone                     ,2699,0.7 ,0.2 ,0.4 ,0.9 ,1.3 ,0.7 ,0.5 ,0.4 ,0.4 ,0.4 ,0.5 ,0.8 ,0.9 ,0.9 ,1.3 ,1.0 ,1.0 ,0.7 ,0.7 ,0.6 ,0.053 
C43       ,Melanoma of Skin         ,1238,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.3 ,0.7 ,0.8 ,1.2 ,1.3 ,1.5 ,1.5 ,0.3 ,0.3 ,0.5 ,0.032 
C44       ,Skin - others            ,4256,1.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.5 ,0.8 ,1.3 ,2.0 ,2.7 ,3.4 ,4.6 ,5.1 ,6.3 ,1.0 ,0.9 ,1.6 ,0.106 
C45       ,Mesothelioma             ,94,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C46       , Kaposi Sarcoma          ,14,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 
"C47, C49  ","Soft Tissue etc.,        ",3424,0.9 ,0.4 ,0.3 ,0.3 ,0.4 ,0.4 ,0.5 ,0.5 ,0.7 ,0.9 ,1.0 ,1.4 ,1.9 ,2.0 ,2.4 ,1.9 ,2.3 ,0.8 ,0.8 ,1.3 ,0.075 
C50       ,Breast                   ,55106,14.9 ,0.0 ,0.0 ,0.0 ,0.1 ,0.4 ,1.4 ,4.5 ,11.1 ,18.3 ,30.3 ,39.0 ,42.0 ,38.8 ,42.0 ,33.0 ,26.2 ,13.5 ,11.6 ,28.3 ,1.296 
C51       ,Vulva                    ,864,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.5 ,0.8 ,1.1 ,1.5 ,1.6 ,0.2 ,0.2 ,0.3 ,0.024 
C52       ,Vagina                   ,1156,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.6 ,0.8 ,0.8 ,1.0 ,1.4 ,1.0 ,0.9 ,0.3 ,0.3 ,0.5 ,0.030 
C53       ,Cervix                   ,32428,8.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.2 ,4.5 ,9.0 ,17.1 ,23.0 ,27.2 ,28.0 ,29.6 ,22.9 ,14.7 ,8.0 ,6.9 ,16.7 ,0.810 
C54       ,Corpus Uteri             ,8032,2.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.7 ,1.2 ,2.5 ,5.3 ,7.8 ,8.7 ,9.9 ,7.5 ,4.0 ,2.0 ,1.7 ,3.8 ,0.220 
C55       ,Uterus unsp.             ,858,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,0.4 ,0.5 ,0.4 ,0.7 ,0.5 ,0.5 ,0.2 ,0.2 ,0.4 ,0.019 
C56       ,Ovary                    ,11322,3.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.7 ,0.8 ,1.1 ,1.8 ,3.2 ,5.5 ,7.4 ,8.3 ,8.5 ,8.9 ,7.1 ,4.8 ,2.8 ,2.4 ,5.4 ,0.269 
C57       ,Oth female  Genital      ,134,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.003 
C58       ,Placenta                 ,132,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.002 
C60       ,Penis                    ,2648,0.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.9 ,1.4 ,1.9 ,2.2 ,3.0 ,3.7 ,3.5 ,0.7 ,0.6 ,1.1 ,0.070 
C61       ,Prostate                 ,6553,1.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.8 ,2.2 ,5.6 ,10.9 ,16.1 ,22.0 ,1.6 ,1.5 ,1.2 ,0.180 
C62       ,Testis                   ,997,0.3 ,0.1 ,0.0 ,0.0 ,0.2 ,0.4 ,0.4 ,0.5 ,0.4 ,0.3 ,0.2 ,0.2 ,0.2 ,0.1 ,0.2 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.017 
C63       ,Oth Male  Genital        ,65,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C64       ,Kidney                   ,3491,0.9 ,0.7 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.7 ,1.1 ,1.9 ,2.4 ,3.0 ,3.9 ,2.8 ,2.8 ,0.9 ,0.8 ,1.4 ,0.088 
C65       ,Renal Pelvis             ,44,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.0 ,0.0 ,0.001 
