"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
FEMALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C00       ,Lip                      ,405,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.4 ,0.6 ,0.8 ,1.1 ,0.9 ,0.9 ,0.2 ,0.2 ,0.3 ,0.021 
C01-C02   ,Tongue                   ,3291,1.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,0.8 ,1.5 ,3.1 ,4.0 ,5.2 ,5.6 ,6.2 ,5.7 ,4.4 ,1.6 ,1.4 ,3.1 ,0.164 
C03-C06   ,Mouth                    ,6648,3.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.4 ,1.1 ,2.1 ,4.2 ,7.6 ,9.9 ,12.4 ,16.4 ,15.5 ,13.1 ,3.3 ,2.8 ,5.5 ,0.350 
C07-C08   ,Salivary Gland           ,756,0.4 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.3 ,0.3 ,0.4 ,0.7 ,0.7 ,0.9 ,0.8 ,0.9 ,1.0 ,0.8 ,0.4 ,0.3 ,0.6 ,0.033 
C09-C10   ,Oropharynx               ,649,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.4 ,0.8 ,0.9 ,1.2 ,1.5 ,0.9 ,1.3 ,0.3 ,0.3 ,0.6 ,0.032 
C11       ,Nasopharynx              ,378,0.2 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.4 ,0.6 ,0.5 ,0.3 ,0.2 ,0.2 ,0.3 ,0.017 
C12-C13   ,Hypopharynx              ,2440,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.5 ,1.0 ,1.6 ,2.6 ,3.1 ,3.7 ,3.5 ,3.3 ,3.2 ,2.0 ,1.2 ,1.0 ,2.4 ,0.114 
C14       ,Pharynx  unsp            ,197,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.4 ,0.3 ,0.2 ,0.3 ,0.1 ,0.1 ,0.2 ,0.009 
C15       ,Oesophagus               ,4245,2.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.3 ,0.4 ,1.1 ,1.8 ,3.1 ,4.7 ,6.3 ,6.9 ,8.8 ,9.5 ,7.5 ,2.1 ,1.8 ,3.6 ,0.215 
C16       ,Stomach                  ,6544,3.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,1.2 ,2.3 ,3.1 ,6.0 ,7.3 ,9.5 ,10.2 ,13.7 ,11.4 ,7.1 ,3.2 ,2.7 ,5.9 ,0.326 
C17       ,Small Intestine          ,353,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 ,0.5 ,0.4 ,0.9 ,0.4 ,0.5 ,0.2 ,0.1 ,0.3 ,0.017 
C18       ,Colon                    ,3663,1.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.5 ,1.1 ,1.4 ,2.8 ,4.1 ,4.8 ,6.6 ,7.5 ,7.1 ,6.8 ,1.8 ,1.5 ,3.2 ,0.181 
C19-C20   ,Rectum                   ,4216,2.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.7 ,1.4 ,1.7 ,3.2 ,4.7 ,5.7 ,7.0 ,8.8 ,8.4 ,7.4 ,2.1 ,1.8 ,3.6 ,0.209 
C21       ,Anus & Anal canal        ,715,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.4 ,0.8 ,1.0 ,1.4 ,1.7 ,1.6 ,1.4 ,0.4 ,0.3 ,0.6 ,0.037 
C22       ,"Liver etc.,              ",1493,0.7 ,0.4 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.6 ,1.1 ,1.4 ,2.0 ,2.5 ,3.2 ,2.9 ,2.9 ,0.7 ,0.7 ,1.2 ,0.074 
C23-C24   ,Gall Bladder etc.        ,1810,0.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.7 ,1.4 ,2.2 ,2.6 ,3.3 ,4.4 ,3.5 ,2.6 ,0.9 ,0.8 ,1.6 ,0.094 
C25       ,Pancreas                 ,1396,0.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,1.0 ,1.3 ,2.0 ,2.3 ,3.3 ,3.0 ,2.1 ,0.7 ,0.6 ,1.1 ,0.072 
C26       ,Other G.I Tract          ,149,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.3 ,0.2 ,0.3 ,0.1 ,0.1 ,0.1 ,0.007 
C30-C31   ,Nasal Cavity etc.        ,510,0.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.4 ,0.7 ,0.7 ,0.8 ,0.9 ,0.8 ,0.3 ,0.2 ,0.4 ,0.024 
C32       ,Larynx                   ,791,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.8 ,0.8 ,1.1 ,1.4 ,1.3 ,1.4 ,1.5 ,0.4 ,0.3 ,0.7 ,0.038 
C33-C34   ,Lung                     ,4990,2.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.5 ,1.0 ,1.9 ,3.6 ,6.0 ,8.2 ,9.0 ,11.4 ,10.0 ,7.0 ,2.4 ,2.1 ,4.5 ,0.259 
C37-C39   ,Oth Respiratory syst     ,295,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.4 ,0.5 ,0.6 ,0.4 ,0.4 ,0.1 ,0.1 ,0.2 ,0.014 
C40-C41   ,Bone                     ,1132,0.6 ,0.2 ,0.4 ,0.9 ,1.0 ,0.5 ,0.4 ,0.3 ,0.4 ,0.4 ,0.4 ,0.6 ,0.8 ,0.8 ,1.2 ,0.8 ,0.6 ,0.6 ,0.6 ,0.5 ,0.045 
C43       ,Melanoma of Skin         ,558,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.2 ,0.3 ,0.7 ,0.7 ,1.2 ,1.1 ,1.0 ,0.8 ,0.3 ,0.2 ,0.5 ,0.028 
C44       ,Skin - others            ,1841,0.9 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.4 ,0.5 ,0.7 ,1.1 ,1.8 ,2.2 ,2.4 ,4.0 ,4.5 ,4.8 ,0.9 ,0.8 ,1.3 ,0.090 
C45       ,Mesothelioma             ,39,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C46       , Kaposi Sarcoma          ,6,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 
"C47, C49  ","Soft Tissue etc.,        ",1449,0.7 ,0.3 ,0.3 ,0.2 ,0.3 ,0.4 ,0.4 ,0.4 ,0.6 ,0.8 ,1.0 ,1.3 ,1.7 ,1.5 ,1.8 ,1.1 ,1.6 ,0.7 ,0.6 ,1.1 ,0.060 
C50       ,Breast                   ,54458,26.6 ,0.0 ,0.0 ,0.1 ,0.3 ,0.8 ,2.8 ,9.0 ,21.2 ,35.5 ,60.2 ,77.3 ,83.1 ,75.6 ,78.8 ,62.3 ,46.3 ,26.7 ,22.6 ,55.6 ,2.503 
C51       ,Vulva                    ,864,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,1.1 ,1.6 ,2.2 ,3.0 ,2.9 ,0.4 ,0.4 ,0.6 ,0.046 
