"No of Cases, Percentage, Age Specific Rate (ASPR),  Crude Incidence Rate (CIR),",,,,,,,,,,,,,,,,,,,,,,,
"Age Standardised Rate (ASR), Age Truncated Rate (35 - 64) (T.R), Cumulative Risk (0 - 74) (C.R)",,,,,,,,,,,,,,,,,,,,,,,
MALE  -  AGE GROUP:  0  to   75+   -  YEAR FROM : 2017 TO : 2021   - SITE :  ALL SITES      DISTRICT :All Districts,,,,,,,,,,,,,,,,,,,,,,,
ICD -10,SITE,TOTAL,%,0-4,5-9',10-14',15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,C.I.R,A.S.R,T.R,CR%
C00       ,Lip                      ,523,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.4 ,0.6 ,0.6 ,1.0 ,1.4 ,1.0 ,1.4 ,0.3 ,0.2 ,0.4 ,0.027 
C01-C02   ,Tongue                   ,8976,5.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,1.3 ,3.1 ,5.2 ,7.7 ,11.8 ,13.1 ,14.9 ,18.1 ,16.1 ,13.8 ,4.4 ,3.9 ,8.6 ,0.457 
C03-C06   ,Mouth                    ,12957,7.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.4 ,1.6 ,3.9 ,7.4 ,11.5 ,14.9 ,19.7 ,22.5 ,27.2 ,23.8 ,21.1 ,6.4 ,5.7 ,12.3 ,0.666 
C07-C08   ,Salivary Gland           ,936,0.6 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.5 ,0.7 ,1.0 ,1.3 ,1.4 ,1.8 ,1.8 ,1.6 ,0.5 ,0.4 ,0.8 ,0.047 
C09-C10   ,Oropharynx               ,4522,2.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.5 ,1.1 ,2.2 ,5.0 ,7.9 ,9.8 ,13.8 ,12.2 ,9.2 ,2.2 ,2.0 ,3.8 ,0.263 
C11       ,Nasopharynx              ,875,0.5 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,0.2 ,0.2 ,0.3 ,0.4 ,0.6 ,0.9 ,1.0 ,1.4 ,1.7 ,1.0 ,1.0 ,0.4 ,0.4 ,0.7 ,0.041 
C12-C13   ,Hypopharynx              ,4529,2.7 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.3 ,0.5 ,1.1 ,2.2 ,4.5 ,7.3 ,9.8 ,13.2 ,11.7 ,11.9 ,2.2 ,2.0 ,3.7 ,0.254 
C14       ,Pharynx  unsp            ,435,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,0.9 ,1.5 ,1.2 ,1.3 ,0.2 ,0.2 ,0.3 ,0.025 
C15       ,Oesophagus               ,6962,4.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.8 ,1.7 ,3.6 ,6.8 ,11.2 ,15.4 ,20.0 ,17.8 ,18.6 ,3.4 ,3.1 ,5.7 ,0.388 
C16       ,Stomach                  ,12701,7.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.5 ,1.0 ,2.2 ,4.2 ,7.7 ,14.1 ,19.8 ,26.1 ,33.6 ,30.5 ,27.0 ,6.3 ,5.7 ,10.9 ,0.698 
C17       ,Small Intestine          ,511,0.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.4 ,0.6 ,0.8 ,0.7 ,1.0 ,1.2 ,1.5 ,0.3 ,0.2 ,0.4 ,0.026 
C18       ,Colon                    ,5094,3.1 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.3 ,0.7 ,1.6 ,1.9 ,3.3 ,5.0 ,6.9 ,8.8 ,11.9 ,13.0 ,13.1 ,2.5 ,2.3 ,4.1 ,0.269 
C19-C20   ,Rectum                   ,6282,3.8 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.5 ,0.8 ,1.6 ,2.2 ,3.6 ,6.5 ,8.2 ,10.8 ,16.9 ,15.8 ,17.5 ,3.1 ,2.8 ,4.9 ,0.335 
C21       ,Anus & Anal canal        ,869,0.5 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.3 ,0.4 ,0.6 ,1.1 ,1.4 ,1.5 ,2.0 ,1.5 ,1.9 ,0.4 ,0.4 ,0.8 ,0.045 
C22       ,"Liver etc.,              ",4523,2.7 ,0.3 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.3 ,0.5 ,0.9 ,2.0 ,3.7 ,6.1 ,8.9 ,14.0 ,14.7 ,14.5 ,2.2 ,2.1 ,3.2 ,0.258 
C23-C24   ,Gall Bladder etc.        ,2190,1.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,0.6 ,1.4 ,2.6 ,3.2 ,4.2 ,6.0 ,5.4 ,5.1 ,1.1 ,1.0 ,1.9 ,0.121 
C25       ,Pancreas                 ,2038,1.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.5 ,0.8 ,1.4 ,2.1 ,3.2 ,4.0 ,5.1 ,4.4 ,4.3 ,1.0 ,0.9 ,1.8 ,0.109 
C26       ,Other G.I Tract          ,199,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.3 ,0.5 ,0.4 ,0.4 ,0.1 ,0.1 ,0.2 ,0.010 
C30-C31   ,Nasal Cavity etc.        ,806,0.5 ,0.1 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.4 ,0.5 ,0.8 ,1.0 ,1.4 ,1.5 ,1.7 ,1.1 ,0.4 ,0.4 ,0.7 ,0.042 
C32       ,Larynx                   ,6365,3.8 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.4 ,1.1 ,2.9 ,6.6 ,10.9 ,15.0 ,18.8 ,17.5 ,15.2 ,3.1 ,2.9 ,5.3 ,0.367 
C33-C34   ,Lung                     ,11973,7.2 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.3 ,0.4 ,1.1 ,2.5 ,5.5 ,11.2 ,19.4 ,27.1 ,37.8 ,34.0 ,28.6 ,5.9 ,5.4 ,9.6 ,0.696 
C37-C39   ,Oth Respiratory syst     ,452,0.3 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.2 ,0.2 ,0.4 ,0.6 ,0.6 ,0.8 ,1.1 ,0.8 ,0.2 ,0.2 ,0.3 ,0.022 
C40-C41   ,Bone                     ,1567,0.9 ,0.3 ,0.5 ,1.0 ,1.6 ,0.9 ,0.5 ,0.4 ,0.5 ,0.4 ,0.6 ,0.9 ,1.0 ,1.1 ,1.4 ,1.1 ,1.4 ,0.8 ,0.8 ,0.7 ,0.061 
C43       ,Melanoma of Skin         ,680,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.3 ,0.2 ,0.6 ,1.0 ,1.2 ,1.5 ,2.1 ,2.3 ,0.3 ,0.3 ,0.5 ,0.036 
C44       ,Skin - others            ,2415,1.5 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.4 ,0.8 ,1.5 ,2.3 ,3.3 ,4.3 ,5.3 ,5.7 ,8.2 ,1.2 ,1.1 ,1.9 ,0.122 
C45       ,Mesothelioma             ,55,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.003 
C46       , Kaposi Sarcoma          ,8,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.000 
"C47, C49  ","Soft Tissue etc.,        ",1975,1.2 ,0.4 ,0.2 ,0.3 ,0.4 ,0.5 ,0.5 ,0.6 ,0.8 ,1.1 ,1.0 ,1.6 ,2.2 ,2.6 ,3.0 ,2.7 ,3.1 ,1.0 ,0.9 ,1.4 ,0.090 
C50       ,Breast                   ,648,0.4 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.4 ,0.5 ,0.8 ,1.2 ,1.9 ,1.8 ,2.2 ,0.3 ,0.3 ,0.5 ,0.035 
C60       ,Penis                    ,2648,1.6 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.5 ,0.9 ,1.9 ,2.9 ,3.8 ,4.5 ,6.3 ,7.5 ,7.8 ,1.3 ,1.2 ,2.2 ,0.142 
C61       ,Prostate                 ,6553,3.9 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.5 ,1.6 ,4.5 ,11.3 ,22.7 ,33.2 ,48.4 ,3.2 ,3.1 ,2.4 ,0.370 
C62       ,Testis                   ,997,0.6 ,0.2 ,0.0 ,0.0 ,0.4 ,0.8 ,0.9 ,0.9 ,0.8 ,0.5 ,0.4 ,0.4 ,0.3 ,0.3 ,0.5 ,0.3 ,0.5 ,0.5 ,0.4 ,0.5 ,0.034 
C63       ,Oth Male  Genital        ,65,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.0 ,0.0 ,0.1 ,0.003 
C64       ,Kidney                   ,2440,1.5 ,0.7 ,0.2 ,0.0 ,0.0 ,0.0 ,0.2 ,0.2 ,0.6 ,0.9 ,1.6 ,2.8 ,3.5 ,4.3 ,6.0 ,4.3 ,4.6 ,1.2 ,1.1 ,2.0 ,0.127 
C65       ,Renal Pelvis             ,33,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.1 ,0.1 ,0.0 ,0.0 ,0.0 ,0.002 
C66       ,Ureter                   ,67,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.2 ,0.3 ,0.3 ,0.0 ,0.0 ,0.0 ,0.004 
C67       ,Bladder                  ,3825,2.3 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.0 ,0.2 ,0.3 ,0.6 ,1.3 ,2.9 ,4.3 ,7.1 ,11.6 ,13.7 ,18.5 ,1.9 ,1.8 ,2.4 ,0.211 
C68       ,Urethera                 ,70,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.2 ,0.2 ,0.2 ,0.2 ,0.0 ,0.0 ,0.1 ,0.004 
C69       ,Eye And Adnexa           ,181,0.1 ,0.6 ,0.1 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.1 ,0.2 ,0.1 ,0.1 ,0.1 ,0.007 
